7 100
2 6 4
6 5 4
1 3 5
6 2 5
4 0 1
4 2 4
3 4 4
6 5 3
6 0 0
0 6 1
0 5 3
5 1 7
6 1 7
6 1 6
0 5 7
5 1 3
5 2 3
2 1 2
2 4 0
1 2 9
6 3 8
1 0 9
5 0 4
2 0 6
2 5 5
6 4 7
4 3 1
0 5 5
5 6 6
5 2 5
1 0 1
6 2 4
6 3 8
2 3 9
1 2 1
1 6 0
5 0 0
2 5 3
6 2 3
3 1 7
5 2 8
5 0 0
1 6 3
2 6 4
3 5 4
0 4 3
5 0 8
0 2 4
2 4 2
2 1 9
5 0 3
1 5 5
0 2 1
2 4 4
4 0 5
3 1 0
4 0 9
0 1 9
1 3 1
6 0 9
0 1 5
4 1 1
3 5 5
5 4 0
6 5 9
1 5 6
5 6 4
1 4 9
1 4 4
0 6 8
4 6 4
3 2 5
0 1 3
3 5 3
3 1 3
2 4 0
3 1 2
4 1 0
4 0 4
6 4 9
2 0 6
2 0 6
4 1 7
5 4 1
3 4 8
5 1 2
6 2 3
3 4 6
2 3 2
4 5 7
5 4 6
2 5 9
1 4 7
4 3 6
6 4 5
4 0 8
2 4 9
4 0 9
6 3 2
6 3 4
