6 100
0 1 34
1 0 46
3 1 2
4 3 86
2 1 75
3 5 82
4 1 14
1 4 26
2 5 32
0 4 14
2 5 80
0 2 48
5 1 87
4 3 18
2 0 26
0 5 42
3 2 43
5 2 7
2 1 3
1 0 38
4 1 14
4 2 33
2 5 0
0 1 20
3 5 41
1 2 17
1 5 72
3 5 12
5 4 79
3 4 33
0 3 79
0 2 31
1 2 41
3 4 50
2 0 87
0 2 15
5 0 85
3 2 25
3 5 30
1 4 74
1 0 7
5 4 32
2 3 91
2 0 62
2 1 83
5 4 0
3 2 11
3 4 1
5 0 39
4 1 66
3 2 82
4 2 72
2 0 83
5 0 12
1 3 40
4 3 73
5 2 91
2 1 71
2 4 79
3 5 30
0 5 99
0 5 66
5 1 87
1 4 74
4 2 65
3 0 11
5 4 22
2 5 9
4 5 76
1 0 18
3 4 97
5 2 57
1 4 26
1 3 27
3 0 23
3 5 39
2 5 5
5 1 81
0 1 67
2 4 38
0 3 34
2 4 74
5 3 20
0 2 11
5 1 89
0 3 49
5 4 60
5 0 60
0 4 38
2 0 83
5 0 8
4 0 65
1 5 71
3 2 76
0 5 31
0 5 32
1 3 39
0 4 72
5 4 36
2 4 65
